Layer 0;Layer 1;Layer 2;Layer 3;Layer 4;Layer 5;Layer 6;Layer 7;Layer 8;Layer 9;Layer 10;Layer 11;Layer 12;Layer 13;Layer 14;Layer 15;Layer 16;Layer 17;Layer 18;Layer 19;Layer 20;Layer 21;Layer 22;Layer 23;Layer 24;Layer 25;Layer 26;Layer 27;Layer 28;Layer 29;Layer 30;Layer 31;Layer 32;Layer 33;Layer 34;Layer 35;Layer 36;Layer 37;Layer 38;Layer 39;Layer 40;Layer 41;Layer 42;Layer 43;Layer 44;has electron;has proton;has helium;has heavier ion;has bragg peak
3.2;3.76;3.76;3.2;3.2;3.76;4.98;4.36;3.2;4.98;4.98;4.36;12.65;5.63;5.63;5.63;6.31;8.51;11.78;13.55;25.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
6.31;3.2;4.36;2.67;2.67;2.67;3.2;3.2;2.67;3.2;3.2;10.1;2.67;3.2;3.76;3.76;3.2;3.2;3.76;5.63;3.2;3.76;4.36;3.76;13.55;3.76;3.76;4.36;3.76;4.98;4.98;4.98;4.98;5.63;8.51;8.51;7.02;17.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
2.67;2.17;1.71;2.17;2.17;2.17;2.67;3.76;2.67;2.17;4.98;2.17;2.67;10.1;3.76;2.67;3.2;3.2;3.76;3.2;7.02;2.67;4.98;6.31;3.2;3.2;4.98;3.76;3.76;4.36;3.76;6.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0;0
4.36;3.2;3.2;4.98;4.98;3.76;3.2;3.76;3.2;3.76;4.36;3.76;3.76;4.36;4.36;7.02;4.98;1.71;1.71;2.17;1.71;2.17;1.71;4.36;3.2;2.67;4.36;4.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0;0
5.63;9.29;7.75;6.31;9.29;7.75;7.02;10.93;13.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
2.67;3.2;2.67;3.76;3.76;2.67;3.76;4.98;3.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;0
2.67;3.2;3.2;2.67;2.67;3.76;3.2;3.2;2.67;2.67;2.67;3.2;3.2;2.67;3.2;4.98;3.2;3.2;4.98;3.2;3.2;3.2;3.76;4.98;3.76;2.17;4.36;4.36;9.29;5.63;3.76;4.36;14.47;4.98;5.63;8.51;5.63;7.75;7.75;7.02;11.78;18.34;0.0;0.0;0.0;0;0;1;0;1
4.98;2.67;2.67;3.76;3.2;3.2;3.2;2.67;2.67;3.76;3.76;3.76;6.31;8.51;4.98;3.2;3.76;3.76;3.76;3.2;3.2;5.63;3.76;3.76;4.36;12.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0;1
23.61;2.67;2.67;2.17;2.67;2.67;2.17;5.63;3.2;2.67;2.17;2.17;4.36;2.67;3.2;2.67;3.2;2.67;4.36;3.76;3.2;4.98;12.65;3.2;10.93;3.76;3.76;4.98;4.36;7.75;5.63;4.98;5.63;5.63;5.63;10.93;5.63;7.02;8.51;8.51;11.78;17.34;0.0;0.0;0.0;0;0;1;0;1
4.98;4.36;5.63;7.02;8.51;7.02;9.29;10.1;11.78;28.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
2.67;2.17;3.2;2.67;4.98;2.17;4.98;3.2;19.35;18.34;2.67;2.67;3.2;2.67;3.2;3.76;3.2;3.2;3.2;6.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
